	HypoPrepubertalDHT2	HypoPrepubertalDHT3	HypoPrepubertalDHT4	HypoPrepubertalCNT1	HypoPrepubertalCNT2	HypoPrepubertalCNT3	HypoPrepubertalCNT4
Itfg1	1	0	0	0	1	0	0
Phkb	1	0	0	0	1	0	0
Lonp2	2	2	1	0	1	2	1
N4bp1	0	1	0	0	1	0	0
Fth-ps3	0	1	0	1	1	1	0
Rps13-ps1	0	1	0	0	0	1	1
Gm2694	0	0	0	0	1	0	0
Cbln1	0	1	1	1	2	0	2
Zfp423	0	0	0	1	0	0	0
Cnep1r1	0	0	0	0	1	0	0
Heatr3	0	0	0	0	0	1	0
Papd5	0	2	0	0	0	0	0
Adcy7	0	0	0	0	0	0	0
Brd7	2	1	0	0	1	1	0
Cyld	3	1	0	1	0	0	0
Gm19935	0	0	0	0	0	0	0
Chd9	2	0	6	1	1	2	1
Gm45640	0	1	0	0	0	0	0
Rbl2	1	0	1	0	0	0	0
Aktip	1	2	0	3	1	2	0
Gm45464	1	0	0	0	0	0	0
Rpgrip1l	0	2	0	0	0	1	0
Fto	0	3	0	2	2	2	1
Gm45292	0	0	0	0	0	0	0
Gm9619	0	1	0	0	0	0	0
Mmp2	0	3	0	0	1	1	0
Lpcat2	0	0	0	0	0	0	0
Ces1d	0	0	0	2	3	1	0
G0o1	0	2	5	1	6	2	1
Amfr	0	2	1	1	0	1	0
Nudt21	1	3	0	4	4	2	1
Ogfod1	5	0	2	2	2	3	0
Bbs2	0	0	2	0	0	1	0
Mt3	27	25	12	13	26	8	7
Mt2	5	6	2	2	6	3	2
Mt1	48	30	24	39	23	24	16
Nup93	0	0	0	0	0	0	0
Herpud1	1	0	0	0	0	1	0
Ap3s1-ps2	1	0	0	0	2	0	0
Cpne2	0	0	0	0	0	1	0
Fam192a	1	1	2	0	0	1	0
Rspry1	0	0	1	0	1	1	0
Arl2bp	4	8	5	4	2	5	2
Pllp	2	0	0	1	1	0	1
Cx3cl1	4	0	1	1	1	1	1
Ciapin1	2	3	0	0	1	2	0
Coq9	0	1	0	0	2	0	0
Polr2c	0	3	1	1	2	0	0
Adgrg1	0	1	2	1	1	1	0
Katnb1	0	0	0	0	0	0	1
Gm45758	0	0	0	0	0	0	0
Kifc3	1	0	0	0	0	0	0
Zfp319	0	0	0	1	1	0	0
Mmp15	2	3	1	1	0	2	0
Cfap20	0	0	0	1	2	0	0
Csnk2a2	1	0	1	0	0	1	0
Ndrg4	15	7	8	5	5	8	2
Setd6	1	0	0	1	0	0	1
Cnot1	0	0	0	0	0	0	0
4930513N10Rik	0	0	0	1	0	0	0
Sap18b	0	1	1	1	1	0	0
Slc38a7	0	1	0	0	0	3	0
Got2	1	3	4	3	1	2	1
Gm45760	0	0	0	0	0	0	0
Gm7192	0	0	0	0	1	0	1
Cdh8	0	0	0	0	0	0	0
Impdh2-ps	0	0	0	0	0	0	0
Cdh11	0	1	1	2	0	0	0
Gm8730	0	1	0	1	0	0	0
Cdh5	0	1	1	1	0	0	0
Bean1	0	0	0	0	2	0	0
Tk2	0	1	0	0	1	0	0
Cklf	1	1	0	0	1	1	0
Cmtm3	1	2	0	1	0	1	0
Cmtm4	1	0	0	0	0	0	0
Dync1li2	1	1	0	1	2	1	0
0,00E+00	1	1	1	0	1	1	0
Pdp2	0	0	0	0	0	0	0
Fam96b	0	1	1	0	1	0	0
Cbfb	0	0	0	0	0	1	0
D230025D16Rik	0	1	0	0	0	0	0
B3gnt9	0	2	0	0	1	0	0
Hsf4	0	0	0	0	0	0	0
Nol3	0	1	0	0	1	0	0
4931428F04Rik	1	0	1	2	1	0	0
Exoc3l	0	0	0	0	0	0	0
E2f4	1	0	0	0	1	0	0
Elmo3	0	0	0	1	0	1	0
Lrrc29	0	0	0	0	2	0	0
Tmem208	3	0	0	3	0	3	0
Slc9a5	0	0	1	0	0	1	1
Tppp3	2	6	4	2	9	8	2
Zdhhc1	1	0	0	1	0	0	0
Atp6v0d1	1	1	0	1	0	3	1
Agrp	0	0	0	0	4	0	0
Ripor1	0	2	1	1	1	0	0
Ctcf	1	0	0	0	1	0	1
Carmil2	1	1	0	0	0	1	0
Acd	0	0	2	1	1	1	0
Pard6a	0	3	1	2	1	1	0
Enkd1	1	0	0	0	0	0	0
Gfod2	0	0	0	1	1	2	0
Ranbp10	1	0	1	0	0	1	0
Cenpt	1	0	0	0	0	1	0
Thap11	0	0	1	0	0	0	0
Nutf2	1	2	2	0	1	4	0
Edc4	1	1	0	1	0	0	0
Psmb10	1	6	4	2	2	3	0
Lcat	1	0	1	1	0	1	0
Slc12a4	1	0	1	0	0	0	1
Dus2	0	1	0	0	0	1	0
Ddx28	0	0	0	0	0	0	0
Nfatc3	0	0	0	0	0	1	0
Pla2g15	0	1	1	0	1	1	0
Slc7a6	0	0	0	0	0	0	0
Slc7a6os	0	0	0	0	0	0	0
Prmt7	0	1	0	1	0	1	0
Smpd3	1	0	0	0	1	0	0
Zfp90	0	0	1	0	0	0	0
Gm10073	1	0	0	0	0	0	0
Chtf8	1	1	1	1	0	0	0
Utp4	0	0	0	0	1	0	0
Sntb2	0	0	0	0	0	0	0
Vps4a	3	0	0	0	1	0	1
Cog8	0	1	0	0	0	0	0
Nip7	1	0	0	1	2	0	0
Terf2	1	0	0	0	1	0	0
Cyb5b	1	7	1	0	0	0	1
Rps18-ps3	0	1	0	0	2	2	0
Nfat5	2	1	0	0	1	0	0
Nob1	1	0	0	0	2	1	0
Wwp2	0	0	0	0	1	0	0
Rps26-ps1	3	1	2	0	0	1	0
Psmd7	4	4	5	1	7	3	3
Zfhx3	0	0	1	0	0	0	1
Gm1943	0	1	0	0	0	2	0
Dhx38	0	1	0	0	0	1	2
Txnl4b	0	0	0	0	0	0	0
Hp	1	2	0	0	3	3	0
Dhodh	0	0	1	1	1	0	0
Pkd1l3	0	0	0	0	0	0	0
Ist1	1	2	0	0	1	1	0
Zfp821	0	1	1	0	2	2	1
Atxn1l	0	2	0	0	0	0	0
Ap1g1	0	1	0	0	1	1	0
Phlpp2	0	0	0	0	0	0	0
Zfp612	2	0	1	1	0	2	0
Calb2	3	5	2	1	1	3	0
Vac14	2	3	1	2	3	0	0
Mtss1l	1	2	0	1	1	1	1
Il34	1	0	1	0	1	0	0
Sf3b3	0	1	0	1	1	1	0
Cog4	0	1	1	0	0	1	0
Fuk	1	0	0	0	0	0	0
St3gal2	0	0	1	0	0	0	2
Ddx19a	0	0	1	0	1	1	0
Aars	1	2	1	3	1	2	0
Glg1	1	2	0	1	0	1	0
Rfwd3	0	0	0	0	0	0	0
Fa2h	1	0	0	0	0	0	0
Wdr59	0	1	0	0	0	0	0
Znrf1	1	0	1	4	0	0	0
Ldhd	1	0	1	1	0	0	0
Zfp1	1	0	0	0	0	1	0
Bcar1	2	2	0	0	0	2	1
Cfdp1	1	3	7	2	2	1	0
Tmem231	0	0	0	1	0	1	0
Gabarapl2	1	3	4	5	6	5	2
Adat1	0	1	0	0	1	1	0
Kars	2	3	0	0	3	4	0
Terf2ip	1	0	0	1	2	1	1
Cnt0p4	0	1	0	0	0	0	0
Mon1b	0	1	0	0	0	0	0
Nudt7	0	1	0	0	0	0	0
Vat1l	1	2	2	3	4	5	3
Wwox	0	0	0	0	0	0	0
Maf	0	0	1	1	0	0	0
Dynlrb2	0	2	0	0	0	0	0
Cdyl2	0	0	0	0	1	0	0
Cmc2	2	1	1	0	1	1	0
Atmin	0	0	1	0	1	0	0
Gcsh	2	4	0	1	1	1	1
Gan	0	0	0	0	1	0	0
Cmip	0	1	1	0	2	3	2
Plcg2	0	0	1	0	0	0	0
Sdr42e1	0	0	0	1	1	0	0
Mphosph6	0	1	0	0	0	0	0
Cdh13	0	0	1	0	1	2	0
Hsbp1	9	19	15	11	20	6	5
Mlycd	1	0	0	2	0	0	0
Osgin1	0	0	0	0	0	0	0
Necab2	2	1	1	1	0	0	0
Mbtps1	0	0	1	2	1	0	0
Hsdl1	2	2	0	1	2	0	1
Taf1c	0	0	0	0	0	0	0
Rps13-ps4	0	0	0	0	0	0	0
Wfdc1	0	0	0	0	0	0	0
Tldc1	0	0	0	0	0	0	0
Cotl1	4	3	1	3	6	1	3
Usp10	0	1	1	2	0	0	0
Crispld2	0	1	1	0	0	2	0
Zdhhc7	1	0	0	0	0	0	0
6430548M08Rik	1	2	2	3	2	0	0
Gse1	1	1	1	2	1	0	0
Gins2	0	0	0	0	0	0	0
Emc8	0	0	0	1	1	1	0
Cox4i1	45	47	37	20	30	25	8
Irf8	0	1	0	0	1	0	1
Mthfsd	3	0	1	0	0	3	0
Fbxo31	0	0	0	0	1	0	1
Map1lc3b	5	5	4	3	5	2	1
Zcchc14	1	1	2	0	0	3	0
Jph3	1	2	0	1	0	0	0
Klhdc4	0	1	0	1	0	0	0
Gm42047	0	1	0	1	0	0	0
Slc7a5	0	2	1	0	0	0	0
Banp	0	0	0	0	2	0	0
Zc3h18	0	0	1	0	1	0	0
Cyba	0	2	1	2	0	1	0
Mvd	0	0	0	0	0	1	0
Rnf166	0	0	0	0	1	0	0
Ctu2	0	1	0	1	1	0	0
Piezo1	0	0	0	0	0	1	0
Cdt1	0	0	0	0	0	0	0
Aprt	0	2	0	0	1	1	1
Trappc2l	5	4	0	3	5	3	1
Cbfa2t3	0	0	0	0	0	0	0
Acsf3	0	1	0	1	0	0	0
Gm16378	1	0	1	0	1	0	0
Cdh15	1	0	0	0	1	0	0
Ankrd11	2	1	3	2	1	5	0
2810013P06Rik	0	0	0	0	1	0	0
Spg7	0	0	0	0	0	0	0
Rpl13	26	34	20	18	26	18	10
Cpne7	0	1	1	3	1	4	0
Dpep1	0	1	0	0	0	0	0
Chmp1a	1	2	0	2	2	0	0
Rps12-ps9	0	0	0	0	0	1	0
Spata33	0	0	0	0	0	0	0
Cdk10	0	2	1	1	1	4	0
Spata2l	0	0	0	0	0	0	0
Vps9d1	1	0	0	0	1	0	0
Zfp276	0	1	0	0	0	0	0
Spire2	0	1	1	0	0	0	0
Tcf25	2	4	5	3	4	2	1
Tubb3	6	6	6	6	14	5	4
Def8	1	1	0	0	0	0	0
Afg3l1	0	3	0	0	1	2	1
Dbndd1	0	1	0	0	0	0	1
Gas8	0	0	0	0	1	0	0
Rhou	1	3	1	1	1	3	0
Rab4a	0	1	0	0	0	0	0
Gm4342	0	1	0	0	0	0	0
Acta1	1	0	5	0	0	0	0
Gm29773	0	0	0	0	0	0	0
Nup133	0	0	0	0	0	0	0
Abcb10	0	0	1	1	0	0	0
Urb2	0	0	0	0	0	0	0
Pgbd5	0	0	1	0	0	0	0
Cog2	0	0	0	1	0	1	0
Agt	4	4	4	0	6	1	0
2310022B05Rik	3	4	5	3	4	6	1
Ttc13	1	1	0	0	0	0	0
Arv1	0	0	0	0	0	0	0
2810004N23Rik	0	0	0	1	1	0	0
Gnpat	1	0	1	2	0	2	0
Sprtn	1	0	0	0	0	0	0
Egln1	2	1	1	1	1	2	0
Ts0x	0	4	3	2	5	2	0
Disc1	0	0	1	0	0	0	0
Sipa1l2	0	0	0	0	0	0	0
Ntpcr	0	0	1	0	0	1	0
Pcnx2	0	0	0	0	0	0	1
Kcnk1	1	3	0	1	2	0	0
Coa6	1	0	1	1	1	4	0
Irf2bp2	0	1	1	0	1	0	0
Tomm20	1	1	0	4	4	2	0
Rbm34	0	0	1	1	1	1	0
Pard3	0	0	0	0	1	0	0
Nrp1	0	0	4	1	1	2	1
Itgb1	0	2	1	1	0	0	0
2610044O15Rik8	0	1	0	1	1	0	0
Gm21399	0	2	0	0	0	0	0
Gm32856	0	0	0	0	0	0	0
D830030K20Rik	0	0	0	0	0	0	1
Flnb	0	0	0	0	0	0	0
D0se1l3	0	0	1	0	0	0	0
Abhd6	0	1	1	0	3	1	0
Rpp14	1	0	0	1	1	0	0
Pxk	1	0	2	1	0	0	0
Pdhb	1	4	0	3	1	2	2
Kctd6	0	0	0	0	0	0	0
Fam107a	1	0	1	1	2	1	0
Gm9800	1	0	0	0	1	0	0
Gm3839	0	0	0	0	0	1	0
Ptprg	0	1	1	1	0	0	0
3830406C13Rik	0	0	0	1	0	0	0
Cadps	2	0	1	1	0	1	0
Synpr	0	0	0	1	0	0	0
Thoc7	3	2	0	0	1	2	0
Atxn7	0	0	0	0	0	1	0
Psmd6	1	3	1	2	6	2	0
Il3ra	0	0	0	0	0	0	1
Slc4a7	0	1	0	0	0	0	0
Lrrc3b	1	0	0	0	0	0	0
Oxsm	0	0	1	0	0	0	0
Ngly1	0	0	0	0	2	0	0
Top2b	1	0	0	0	1	0	0
Thrb	1	0	0	0	1	1	0
Nr1d2	0	1	0	0	0	0	1
Rpl15	9	13	5	9	13	9	2
Nkiras1	2	4	3	3	7	4	0
Ube2e1	2	2	0	0	1	1	1
Ube2e2	0	0	0	1	0	1	0
Gm21738	0	0	0	0	0	0	1
Nid2	0	0	0	0	0	0	0
Rtraf	1	2	2	0	0	0	0
Gng2	2	0	0	0	0	0	1
Saysd1	1	0	0	0	1	0	0
Nudt13	0	0	0	0	0	0	0
Ecd	0	2	2	0	1	0	1
Fam149b	0	1	0	0	0	0	1
D0jc9	0	0	0	0	1	0	0
Mrps16	1	3	3	2	2	1	0
Anxa7	0	1	0	0	0	1	0
Ppp3cb	2	1	0	0	3	1	1
Usp54	1	0	0	0	0	0	1
Myoz1	0	0	0	0	0	0	0
Sec24c	2	1	1	2	0	1	0
6230400D17Rik	2	0	1	0	0	1	0
Fut11	0	0	0	0	0	0	0
Chchd1	2	2	2	3	4	2	0
Zswim8	0	1	0	1	0	2	0
Ndst2	0	1	0	0	0	1	0
Camk2g	3	2	2	8	2	4	0
Plau	0	0	0	0	0	0	0
Vcl	0	1	0	1	0	0	0
Ap3m1	0	0	2	0	0	0	0
Adk	1	2	2	0	3	0	0
Kat6b	0	1	0	1	1	1	0
Samd8	0	0	0	1	0	0	0
Vdac2	5	2	1	1	5	5	1
Comtd1	1	1	0	0	0	0	1
Zfp503	0	1	0	0	0	0	0
Lrmda	0	0	0	1	0	0	0
Kcnma1	0	0	1	0	0	0	0
Dlg5	0	1	1	1	0	1	0
Polr3a	1	0	1	0	1	0	0
Rps24	7	20	1	6	10	6	2
Zmiz1	3	1	3	1	0	0	0
Ppif	0	0	0	0	0	0	1
Zcchc24	0	1	0	1	1	2	0
Anxa11	0	0	0	0	0	0	0
Plac9a	1	1	0	0	1	1	0
Tmem254a	0	0	0	0	1	1	0
Gm9780	0	0	0	0	0	0	0
Tmem254c	0	0	1	1	1	2	0
Plac9b	2	0	1	0	0	0	0
Tmem254b	2	1	1	0	1	3	0
Slmap	0	1	0	0	0	0	0
Dennd6a	1	0	0	0	0	1	0
Arf4	1	2	1	2	1	0	0
Pde12	0	0	0	1	0	0	0
Appl1	0	2	1	2	0	0	0
Arhgef3	2	0	0	0	0	0	0
Fam208a	0	1	0	0	0	1	0
Ccdc66	0	1	0	0	0	0	0
Wnt5a	1	1	0	0	0	1	1
Cac02d3	0	0	0	0	0	1	1
Selenok	5	18	13	15	9	11	4
Actr8	1	2	1	0	1	1	0
Cac01d	0	1	0	1	0	0	0
Dcp1a	1	3	0	0	1	0	0
Tkt	3	7	7	4	5	8	4
Prkcd	0	0	0	0	0	0	0
Rft1	0	2	0	0	0	0	0
Sfmbt1	0	0	0	1	0	1	0
Mustn1	0	1	0	0	0	0	0
Itih3	1	3	7	2	6	6	1
Nek4	0	0	0	0	1	0	0
Spcs1	1	4	0	3	1	1	1
Glt8d1	0	2	0	0	0	2	0
Gnl3	1	1	0	0	0	0	0
Pbrm1	1	2	1	1	0	0	1
Smim4	0	0	1	1	0	0	1
Nt5dc2	0	0	0	0	0	1	0
Stab1	0	1	0	1	0	1	0
Nisch	1	1	1	0	2	4	0
Tnnc1	1	0	0	1	2	0	0
Sema3g	0	0	0	0	0	1	0
Bap1	0	2	0	0	0	1	0
D0h1	0	0	0	0	0	0	0
Capn7	0	0	0	0	0	0	0
Sh3bp5	1	2	1	0	0	2	1
Mettl6	0	1	0	0	0	0	1
Eaf1	0	0	0	1	0	0	0
Btd	0	0	0	0	0	1	0
Ankrd28	0	0	0	0	1	0	0
Galnt15	0	0	0	1	0	0	0
Dph3	0	0	2	0	0	0	0
Ox0d1	0	2	0	2	0	1	0
Ncoa4	0	0	1	0	0	0	2
Timm23	2	2	0	2	4	0	1
Ogdhl	0	0	0	0	0	0	1
Ercc6	0	0	0	0	0	0	0
Vstm4	0	4	1	1	0	1	1
Mapk8	0	0	0	0	1	0	0
Rpl23a-ps3	1	2	0	4	2	0	0
Glud1	2	0	2	0	5	1	0
Sncg	2	3	0	1	3	2	1
Mmrn2	0	0	0	1	0	0	0
Bmpr1a	0	0	0	1	0	0	0
Ldb3	0	0	1	0	0	0	0
Wapl	0	0	0	0	0	0	0
Grid1	0	0	1	1	0	0	0
Ccser2	0	0	0	0	1	1	0
Ghitm	2	2	2	1	4	1	1
Gm20642	0	0	0	1	0	0	0
Tspan14	0	0	0	0	1	0	0
Fam213a	5	9	4	5	5	9	5
Dydc2	1	0	0	0	0	1	0
Gm47547	0	4	0	0	0	0	0
Gm7324	0	0	1	0	2	1	0
Txndc16	0	0	0	0	0	1	0
Ero1l	0	0	0	0	1	0	0
Psmc6	2	1	0	0	1	0	0
Styx	0	0	0	0	0	0	0
Gnp0t1	0	0	0	0	0	0	0
Fermt2	1	3	2	0	1	1	0
Ddhd1	0	0	0	0	0	1	0
Gm7206	1	1	0	1	0	1	0
Gm15516	0	1	1	0	0	0	0
Gm1821	32	36	49	27	39	28	11
Bmp4	0	1	0	0	0	0	0
Cnih1	2	1	0	3	0	2	0
Gmfb	0	2	0	1	0	0	1
Cgrrf1	2	0	1	1	2	1	2
Samd4	0	0	0	0	1	0	0
Gch1	0	0	1	0	0	0	0
Wdhd1	0	0	0	0	1	0	0
Socs4	0	0	0	0	0	0	0
Mapk1ip1l	0	0	0	0	0	0	0
Lgals3	0	4	0	2	0	0	0
Fbxo34	0	1	1	0	0	1	0
Atg14	0	0	1	0	0	0	0
Ktn1	1	1	1	0	0	1	0
Gm6055	0	0	0	0	0	1	0
Peli2	0	0	0	0	1	0	0
Tmem260	1	0	0	0	0	0	0
Exoc5	0	1	0	2	1	0	0
Ap5m1	0	1	0	0	1	0	0
0a30	0	0	0	0	0	1	0
3632451O06Rik	0	0	0	0	1	0	0
Ttc5	0	1	0	0	0	0	0
Parp2	0	2	0	0	3	1	0
Tep1	0	1	0	0	0	0	0
Gm26782	1	0	1	0	2	1	0
Klhl33	0	1	0	0	0	0	0
Osgep	2	3	1	0	2	2	2
Apex1	0	2	1	1	3	1	0
Tmem55b	0	1	0	0	0	0	0
Pnp	0	0	0	0	1	0	0
Pnp2	0	1	0	0	0	0	0
R0se4	2	1	0	3	0	1	0
R0se6	0	0	0	0	0	0	0
Mettl17	0	1	0	0	0	0	0
Ndrg2	6	15	15	13	14	7	8
Arhgef40	0	3	0	1	1	1	1
Zfp219	0	1	0	0	0	0	0
Hnrnpc	3	3	1	3	9	4	4
Rpgrip1	0	0	1	1	0	0	1
Supt16	0	0	0	0	1	1	0
Chd8	3	3	0	0	0	1	0
Rab2b	0	0	0	0	0	0	0
Tox4	0	1	1	1	1	3	0
Mettl3	0	0	0	1	1	0	0
Sall2	1	0	2	1	0	1	0
Rps19-ps2	0	2	1	0	0	1	0
Trac	0	0	0	0	1	0	0
Dad1	8	5	4	3	9	4	2
Abhd4	1	3	1	1	2	2	0
Gm43305	0	0	0	0	1	1	0
Oxa1l	0	1	0	0	1	0	0
Mrpl52	2	0	1	2	4	2	1
Mmp14	0	3	0	0	2	1	0
Lrp10	0	1	2	0	0	0	0
Prmt5	1	1	1	1	1	2	0
Haus4	0	0	0	0	0	0	0
Psmb5	2	4	3	3	4	2	2
Acin1	2	2	2	4	1	6	0
1700123O20Rik	0	1	2	0	1	1	1
Slc7a8	1	2	0	1	0	2	0
Homez	0	1	1	0	0	1	0
Bcl2l2	0	0	0	0	1	2	0
Pabpn1	1	1	1	5	2	0	0
Slc22a17	6	15	6	9	7	13	3
Efs	0	0	0	0	1	0	1
Cmtm5	3	2	1	0	2	3	1
Myh7	0	2	0	0	1	2	0
Ngdn	1	0	3	0	3	3	0
Zfhx2os	2	0	0	0	1	0	0
Zfhx2	0	0	1	0	0	0	0
Ap1g2	0	0	0	0	0	0	0
Jph4	1	1	3	0	0	2	1
Gm8894	0	1	0	0	0	0	0
Dhrs4	0	0	1	1	2	1	1
Carmil3	0	1	1	0	0	0	0
Cpne6	1	0	2	2	3	1	1
Pck2	0	1	0	0	0	1	0
Dcaf11	2	0	2	0	2	1	0
Psme1	2	6	1	2	0	2	2
Emc9	1	4	2	3	1	1	0
Psme2	0	4	2	2	1	1	0
Rnf31	1	1	1	0	0	1	1
Irf9	0	0	0	0	0	0	0
Rec8	0	1	0	0	0	0	0
Ipo4	0	0	2	0	0	1	0
Tm9sf1	0	1	1	0	1	1	0
Mdp1	1	1	0	2	0	0	2
Nedd8	1	13	4	2	6	1	3
Gmpr2	0	1	1	1	0	0	1
Tinf2	2	0	0	0	0	0	0
Rabggta	0	0	0	0	0	0	0
Dhrs1	1	0	1	1	3	1	1
Nop9	1	0	0	0	0	0	0
Cideb	0	0	0	0	1	0	0
Adcy4	0	0	0	0	0	0	0
Nfatc4	0	0	0	0	0	0	0
Nynrin	0	0	0	0	1	0	0
Khnyn	0	0	0	1	0	1	0
Sdr39u1	0	2	1	1	3	1	0
Mcpt4	0	0	0	0	0	0	0
Mphosph8	0	3	2	1	0	1	1
Gm16973	0	0	0	0	0	0	0
Pspc1	0	0	0	0	0	0	1
Zmym5	0	2	0	1	2	0	0
Zmym2	0	0	0	0	0	0	0
Gjb2	0	0	1	0	0	0	0
Gjb6	1	1	1	0	0	1	1
Cryl1	0	0	0	2	0	0	0
Gm8971	0	0	1	0	0	0	0
Ift88	0	1	0	0	3	4	0
Il17d	0	0	0	0	0	0	0
Eef1akmt1	1	1	0	1	2	1	0
Xpo4	0	0	0	0	1	0	0
Lats2	0	0	0	0	0	0	0
Gm20430	0	0	0	0	0	0	1
Sap18	3	3	1	3	4	0	0
Mrpl57	7	3	2	1	3	4	2
Zdhhc20	2	3	1	1	1	1	0
Micu2	0	0	0	0	0	0	0
Fgf9	3	0	1	0	0	0	0
Rcbtb1	0	1	0	0	1	0	0
Phf11b	1	0	0	0	0	0	0
Setdb2	0	0	0	0	0	0	0
Cab39l	0	1	0	0	1	0	0
Cdadc1	1	1	2	0	1	0	0
Atp8a2	1	0	0	0	0	0	0
Gm49336	0	0	0	0	0	0	0
Mtmr6	0	1	0	1	0	1	0
Amer2	0	0	0	1	0	1	1
Spata13	0	0	0	0	0	0	0
Mipep	0	0	1	0	0	0	1
Tnfrsf19	0	1	0	0	1	0	0
Sacs	0	1	0	0	0	0	0
Ebpl	0	1	0	0	1	1	0
Kp03	0	0	0	0	0	1	0
Spryd7	0	0	1	0	0	0	0
Trim13	0	0	0	0	0	0	0
Dleu2	0	0	0	0	0	0	0
Gm26916	0	0	0	0	0	0	0
R0seh2b	0	0	0	2	0	1	0
Fam124a	0	0	0	0	0	1	0
Ints6	1	1	0	0	0	0	0
Wdfy2	0	3	0	0	1	0	0
Ctsb	16	29	8	13	18	20	8
Fdft1	2	2	1	3	2	1	2
Gata4	0	2	0	1	0	0	0
Mtmr9	0	0	0	0	0	2	0
Xkr6	0	0	0	0	0	0	0
Pinx1	0	1	0	0	0	0	0
Msra	1	0	0	0	0	1	0
Mir124a-1hg	0	0	0	0	0	1	0
Kif13b	0	1	0	1	3	1	0
Hmbox1	0	0	0	1	1	0	0
Ints9	0	0	0	1	1	0	0
Extl3	2	2	2	1	3	0	0
Fzd3	0	1	0	0	1	0	0
Fbxo16	0	0	0	1	0	0	0
Zfp395	0	1	0	0	0	0	0
Pnoc	0	0	2	0	1	1	0
Elp3	0	3	0	1	1	0	0
Scara5	0	0	0	0	2	0	0
Pbk	0	1	0	0	0	0	0
Ccdc25	0	2	1	0	0	0	0
Clu	27	31	11	14	16	16	7
Ephx2	2	4	1	1	3	1	1
Ptk2b	0	0	0	1	0	0	0
Trim35	1	2	1	0	0	0	0
Stmn4	22	19	22	11	16	8	7
Adra1a	1	0	0	0	0	1	0
Dpysl2	3	2	2	2	3	2	1
Pnma2	0	1	0	1	0	1	0
Bnip3l	3	4	1	0	0	1	2
Ppp2r2a	0	0	1	0	0	0	0
Kctd9	0	0	0	1	0	1	0
Gnrh1	0	0	0	1	0	1	1
Nefm	12	5	2	2	3	1	0
Nefl	8	1	6	4	3	2	0
Rps2-ps5	0	0	0	2	0	0	0
Gm16677	0	0	0	0	0	1	0
Entpd4	1	0	1	0	0	0	0
Gm16867	1	0	1	0	0	0	0
Entpd4b	2	1	1	1	1	2	0
Loxl2	1	1	0	0	2	0	0
R3hcc1	1	0	0	2	0	0	0
Chmp7	1	0	1	2	1	0	0
Rhobtb2	0	1	0	1	0	2	0
Egr3	0	0	0	0	0	0	0
Bin3	0	0	0	0	0	0	0
Ccar2	1	2	0	0	0	1	0
Pdlim2	2	1	0	2	2	0	0
Sorbs3	1	2	1	1	0	0	0
Slc39a14	0	1	2	0	0	0	0
Polr3d	0	2	2	0	0	0	0
Phyhip	4	1	0	3	0	6	1
Bmp1	0	1	0	1	0	0	0
Lgi3	2	1	0	3	0	0	0
Reep4	0	1	0	0	0	0	0
Hr	0	0	0	0	2	1	0
Nudt18	1	0	2	0	4	0	2
Fam160b2	1	1	0	0	0	1	0
Dmtn	3	1	4	2	2	2	0
Xpo7	1	0	1	1	0	2	1
Gfra2	0	2	0	1	1	1	0
Fndc3a	0	3	1	0	1	1	0
Rcbtb2	0	0	1	0	0	0	0
Rb1	0	0	1	0	0	0	0
Lpar6	0	0	0	0	0	0	0
Itm2b	19	19	7	7	19	11	3
Med4	0	0	1	1	0	1	0
Sucla2	2	4	4	8	2	1	1
Gm16409	2	2	0	2	2	1	2
Esd	2	4	3	1	3	0	1
Lrch1	0	0	0	0	0	0	0
Lcp1	0	0	0	0	0	1	0
Zc3h13	0	7	1	0	2	2	0
Cog3	1	0	0	0	0	1	0
Slc25a30	1	2	0	1	1	1	0
Gm4285	1	0	0	1	0	0	0
Tpt1	8	26	5	7	16	13	6
Gtf2f2	0	0	0	0	0	1	0
Gpalpp1	0	0	1	0	0	0	0
Nufip1	0	0	0	0	0	1	0
Tsc22d1	11	23	15	18	12	13	5
Serp2	1	0	1	1	3	0	1
Enox1	0	0	0	1	0	0	0
Gm10132	4	17	9	3	6	5	1
Gm49001	0	1	0	0	0	0	0
D0jc15	2	4	2	2	2	2	2
Epsti1	1	0	0	0	0	0	0
Akap11	2	3	3	2	2	1	1
Dgkh	0	1	0	1	0	0	0
Vwa8	0	0	0	0	0	0	1
Gm6997	0	0	0	0	0	0	0
Rgcc	1	3	1	2	1	1	1
0a16	0	0	0	0	0	0	0
Mtrf1	0	1	1	0	0	0	0
Wbp4	0	3	1	0	0	0	0
Elf1	0	0	0	1	0	0	0
Sugt1	2	1	1	1	0	1	1
Cnmd	0	1	1	0	1	0	0
Pcdh8	2	0	0	0	1	0	0
Pcdh17	1	2	8	5	7	7	3
Rps3a2	0	0	0	0	1	2	1
Pcdh20	0	0	0	0	0	0	0
Gm7232	0	0	0	0	0	0	0
Pcdh9	0	0	0	2	0	1	1
Klhl1	0	1	0	1	0	0	0
Mzt1	0	0	0	1	0	0	0
Bora	0	0	0	0	0	0	0
Pibf1	0	0	2	0	0	0	0
Klf5	0	0	0	0	0	0	0
Klf12	0	0	0	0	1	0	0
Tbc1d4	1	1	0	0	0	0	0
Commd6	3	2	8	0	6	0	1
Uchl3	4	1	2	1	2	0	0
Lmo7	0	0	1	0	0	0	0
Gm5854	0	0	0	0	0	1	0
Kctd12	1	0	0	0	0	0	0
